点云序号,距离雷达的纵向距离/m,距离雷达的横向距离/m,纬度,经度,横向速度,纵向速度,总速度,时间戳,RCS,标定速度与雷达速度差,
1815362,49.8,-3.5,23.26335473,113.5248055,-1.7579,-3.2721,3.714411235,3.8,1688527464,21,0.085588765
1815362,49.8,-3.5,23.2633546,113.5248052,-1.7599,-3.272,3.715270113,3.8,1688527464,21,0.084729887
1815362,49.8,-3.5,23.26335447,113.524805,-1.7612,-3.2747,3.718263779,3.8,1688527464,21,0.081736221
1815554,50.2,-3.9,23.26335434,113.5248047,-1.7589,-3.2757,3.718055903,3.8,1688527464,3.5,0.081944097
1815554,50.2,-3.9,23.26335422,113.5248045,-1.7582,-3.2772,3.719046528,3.8,1688527464,3.5,0.080953472
1815554,50.2,-3.9,23.26335409,113.5248042,-1.7574,-3.2788,3.720078521,3.8,1688527464,3.5,0.079921479
1815554,50.2,-3.9,23.26335396,113.524804,-1.7563,-3.2791,3.71982345,3.8,1688527464,3.5,0.08017655
1815554,50.2,-3.9,23.26335384,113.5248037,-1.7564,-3.2806,3.721192997,3.8,1688527464,3.5,0.078807003
1815554,50.2,-3.9,23.26335371,113.5248035,-1.756,-3.2811,3.721445043,3.8,1688527464,3.5,0.078554957
1815554,50.2,-3.9,23.26335358,113.5248032,-1.7557,-3.2839,3.723772509,3.8,1688527464,3.5,0.076227491
1815554,50.2,-3.9,23.26335346,113.5248029,-1.7541,-3.286,3.724870845,3.8,1688527464,3.5,0.075129155
1815554,50.2,-3.9,23.26335333,113.5248027,-1.7546,-3.2847,3.72395962,3.8,1688527464,3.5,0.07604038
1815554,50.2,-3.9,23.2633532,113.5248024,-1.7521,-3.2873,3.725076603,3.8,1688527464,3.5,0.074923397
1815754,50.6,-3.5,23.26335308,113.5248022,-1.7511,-3.2881,3.725312446,3.8,1688527464,16,0.074687554
1815754,50.6,-3.5,23.26335295,113.5248019,-1.7537,-3.2872,3.725741205,3.8,1688527464,16,0.074258795
1815754,50.6,-3.5,23.26335282,113.5248017,-1.7544,-3.2885,3.727217677,3.8,1688527464,16,0.072782323
1815754,50.6,-3.5,23.2633527,113.5248014,-1.7549,-3.2899,3.728688244,3.8,1688527464,16,0.071311756
1815754,50.6,-3.5,23.26335257,113.5248011,-1.754,-3.2884,3.72694118,3.8,1688527464,16,0.07305882
1815754,50.6,-3.5,23.26335244,113.5248009,-1.7532,-3.29,3.727976695,3.8,1688527464,16,0.072023305
1815754,50.6,-3.5,23.26335232,113.5248006,-1.7536,-3.2898,3.727988332,3.8,1688527464,16,0.072011668
1815754,50.6,-3.5,23.26335219,113.5248004,-1.7545,-3.2904,3.728941192,3.8,1688527464,16,0.071058808
1815945,50.6,-3.5,23.26335206,113.5248001,-1.7558,-3.2912,3.730258849,3.8,1688527464,18,0.069741151
1815945,50.6,-3.5,23.26335194,113.5247999,-1.7557,-3.2899,3.729064829,3.8,1688527464,18,0.070935171
1815945,50.6,-3.5,23.26335181,113.5247996,-1.7557,-3.2903,3.729417727,3.8,1688527464,18,0.070582273
1815945,50.6,-3.5,23.26335168,113.5247993,-1.7548,-3.2916,3.730141231,3.8,1688527464,18,0.069858769
1815945,50.6,-3.5,23.26335155,113.5247991,-1.7542,-3.2926,3.730741535,3.8,1688527464,18,0.069258465
1815945,50.6,-3.5,23.26335143,113.5247988,-1.7551,-3.2912,3.729929416,3.8,1688527464,18,0.070070584
1815945,50.6,-3.5,23.2633513,113.5247986,-1.7549,-3.2915,3.730100034,3.8,1688527464,18,0.069899966
1815945,50.6,-3.5,23.26335117,113.5247983,-1.7567,-3.2919,3.731300109,3.8,1688527464,18,0.068699891
1816142,51,-3.5,23.26335104,113.5247981,-1.7562,-3.2922,3.731329425,3.8,1688527464,16.5,0.068670575
