点云序号,距离雷达的纵向距离/m,距离雷达的横向距离/m,纬度,经度,横向速度,纵向速度,总速度,时间戳,RCS,标定速度与雷达速度差,
389154,47.2,3.3,23.26331083,113.524864,-1.7639,-3.2479,3.695970457,3.8,1688526864,12,0.104029543
389154,47.2,3.3,23.2633107,113.5248637,-1.7648,-3.2439,3.692885897,3.8,1688526864,12,0.107114103
389154,47.2,3.3,23.26331057,113.5248634,-1.766,-3.2421,3.69187871,3.8,1688526864,12,0.10812129
389154,47.2,3.3,23.26331044,113.5248632,-1.7639,-3.2399,3.68894229,3.8,1688526864,12,0.11105771
389154,47.2,3.3,23.26331032,113.5248629,-1.7618,-3.2372,3.68556686,3.8,1688526864,12,0.11443314
389154,47.2,3.3,23.26331019,113.5248627,-1.7585,-3.2351,3.682145334,3.8,1688526864,12,0.117854666
389154,47.2,3.3,23.26331006,113.5248624,-1.7574,-3.2363,3.682674633,3.8,1688526864,12,0.117325367
389154,47.2,3.3,23.26330993,113.5248622,-1.7587,-3.2333,3.680659531,3.8,1688526864,12,0.119340469
389154,47.2,3.3,23.26330981,113.5248619,-1.7583,-3.23,3.677569699,3.8,1688526864,12,0.122430301
389331,47.8,3.7,23.26330968,113.5248617,-1.7548,-3.2288,3.674843191,3.8,1688526864,13.5,0.125156809
389331,47.8,3.7,23.26330955,113.5248614,-1.7531,-3.2289,3.674119598,3.8,1688526864,13.5,0.125880402
389331,47.8,3.7,23.26330942,113.5248612,-1.7511,-3.2278,3.672198803,3.8,1688526864,13.5,0.127801197
389331,47.8,3.7,23.2633093,113.5248609,-1.7513,-3.2247,3.6695697,3.8,1688526864,13.5,0.1304303
389331,47.8,3.7,23.26330917,113.5248607,-1.7509,-3.2232,3.668060666,3.8,1688526864,13.5,0.131939334
389331,47.8,3.7,23.26330904,113.5248604,-1.7488,-3.2224,3.666355575,3.8,1688526864,13.5,0.133644425
389331,47.8,3.7,23.26330892,113.5248602,-1.747,-3.2198,3.663211848,3.8,1688526864,13.5,0.136788152
389331,47.8,3.7,23.26330879,113.5248599,-1.7453,-3.2175,3.660379535,3.8,1688526864,13.5,0.139620465
389331,47.8,3.7,23.26330866,113.5248597,-1.7437,-3.2165,3.658737752,3.8,1688526864,13.5,0.141262248
389511,47.8,3.3,23.26330854,113.5248594,-1.7418,-3.2149,3.656425748,3.8,1688526864,21,0.143574252
389511,47.8,3.3,23.26330841,113.5248592,-1.7408,-3.2129,3.654190889,3.8,1688526864,21,0.145809111
389511,47.8,3.3,23.26330828,113.5248589,-1.7396,-3.2115,3.652388316,3.8,1688526864,21,0.147611684
389511,47.8,3.3,23.26330816,113.5248587,-1.7388,-3.2113,3.651831476,3.8,1688526864,21,0.148168524
389511,47.8,3.3,23.26330803,113.5248584,-1.7377,-3.2086,3.64893344,3.8,1688526864,21,0.15106656
389511,47.8,3.3,23.26330791,113.5248582,-1.7352,-3.2087,3.647831511,3.8,1688526864,21,0.152168489
389511,47.8,3.3,23.26330778,113.5248579,-1.7342,-3.2075,3.646300302,3.8,1688526864,21,0.153699698
389511,47.8,3.3,23.26330765,113.5248577,-1.7327,-3.206,3.644267456,3.8,1688526864,21,0.155732544
389511,47.8,3.3,23.26330753,113.5248574,-1.7318,-3.2042,3.642256015,3.8,1688526864,21,0.157743985
389685,48,3.3,23.2633074,113.5248572,-1.7311,-3.2043,3.642011216,3.8,1688526864,14.5,0.157988784
389685,48,3.3,23.26330728,113.5248569,-1.7286,-3.2021,3.638887518,3.8,1688526864,14.5,0.161112482
389685,48,3.3,23.26330715,113.5248566,-1.7264,-3.1993,3.635378584,3.8,1688526864,14.5,0.164621416
